FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Orsted A/S,"=""0.05561%""","$405,948","2,863.00"
EOG Resources Inc.,"=""0.05559%""","$405,793","8,950.00"
Atlas Copco AB Class A,"=""0.05541%""","$404,492","8,724.00"
Parker-Hannifin Corp.,"=""0.05534%""","$403,986","1,961.00"
Ford Motor Co.,"=""0.05519%""","$402,830","59,066.00"
Rio Tinto Ltd.,"=""0.05518%""","$402,821","5,558.00"
Rockwell Automation Inc.,"=""0.05460%""","$398,586","1,729.00"
Barclays plc,"=""0.05456%""","$398,269","265,674.00"
Motorola Solutions Inc.,"=""0.05444%""","$397,398","2,568.00"
Hermes International,"=""0.05434%""","$396,629",461.00
Alcon Inc.,"=""0.05433%""","$396,586","6,953.00"
Waste Connections Inc.,"=""0.05415%""","$395,239","3,948.00"
Public Service Enterprise Group Inc.,"=""0.05410%""","$394,882","7,559.00"
Carrier Global Corp.,"=""0.05407%""","$394,707","13,223.00"
McCormick & Co. Inc./MD,"=""0.05407%""","$394,667","1,914.00"
Microchip Technology Inc.,"=""0.05400%""","$394,152","3,593.00"
Nordea Bank Abp,"=""0.05394%""","$393,746","48,768.00"
Oriental Land Co. Ltd./Japan,"=""0.05391%""","$393,522","2,900.00"
ResMed Inc.,"=""0.05382%""","$392,835","2,173.00"
Ball Corp.,"=""0.05374%""","$392,286","4,881.00"
TransDigm Group Inc.,"=""0.05373%""","$392,241",785.00
